data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2009,9,Malt and malt products,370369895,548276758,4298874888
Pounds of Materials Used,Grain Products,2009,9,Corn and corn products,54632420,548276758,711768515
Pounds of Materials Used,Grain Products,2009,9,Rice and rice products,57686245,548276758,718909529
Pounds of Materials Used,Grain Products,2009,9,Barley and barley products,8106300,548276758,58121006
Pounds of Materials Used,Grain Products,2009,9,Wheat and wheat products,1934968,548276758,18142553
Pounds of Materials Used,Non-Grain Products,2009,9,Sugar and syrups,50025197,548276758,731159003
Pounds of Materials Used,Non-Grain Products,2009,9,Hops (dry),5216389,548276758,59907030
Pounds of Materials Used,Non-Grain Products,2009,9,Hops (used as extracts),305344,548276758,4113053
Pounds of Materials Used,Grain Products,2009,10,Malt and malt products,333286901,498155175,4298874888
Pounds of Materials Used,Grain Products,2009,10,Corn and corn products,55590153,498155175,711768515
Pounds of Materials Used,Grain Products,2009,10,Rice and rice products,55167784,498155175,718909529
Pounds of Materials Used,Grain Products,2009,10,Barley and barley products,3615556,498155175,58121006
Pounds of Materials Used,Grain Products,2009,10,Wheat and wheat products,1025133,498155175,18142553
Pounds of Materials Used,Non-Grain Products,2009,10,Sugar and syrups,47840939,498155175,731159003
Pounds of Materials Used,Non-Grain Products,2009,10,Hops (dry),1326445,498155175,59907030
Pounds of Materials Used,Non-Grain Products,2009,10,Hops (used as extracts),302264,498155175,4113053
Pounds of Materials Used,Grain Products,2009,11,Malt and malt products,309688888,461317553,4298874888
Pounds of Materials Used,Grain Products,2009,11,Corn and corn products,47018983,461317553,711768515
Pounds of Materials Used,Grain Products,2009,11,Rice and rice products,50460060,461317553,718909529
Pounds of Materials Used,Grain Products,2009,11,Barley and barley products,3374449,461317553,58121006
Pounds of Materials Used,Grain Products,2009,11,Wheat and wheat products,1116613,461317553,18142553
Pounds of Materials Used,Non-Grain Products,2009,11,Sugar and syrups,44926666,461317553,731159003
Pounds of Materials Used,Non-Grain Products,2009,11,Hops (dry),4442654,461317553,59907030
Pounds of Materials Used,Non-Grain Products,2009,11,Hops (used as extracts),289240,461317553,4113053
Pounds of Materials Used,Grain Products,2009,12,Malt and malt products,302237874,452359049,4298874888
Pounds of Materials Used,Grain Products,2009,12,Corn and corn products,45851254,452359049,711768515
Pounds of Materials Used,Grain Products,2009,12,Rice and rice products,51919861,452359049,718909529
Pounds of Materials Used,Grain Products,2009,12,Barley and barley products,7271474,452359049,58121006
Pounds of Materials Used,Grain Products,2009,12,Wheat and wheat products,1851868,452359049,18142553
Pounds of Materials Used,Non-Grain Products,2009,12,Sugar and syrups,39077880,452359049,731159003
Pounds of Materials Used,Non-Grain Products,2009,12,Hops (dry),3887961,452359049,59907030
Pounds of Materials Used,Non-Grain Products,2009,12,Hops (used as extracts),260877,452359049,4113053
Pounds of Materials Used,Grain Products,2010,1,Malt and malt products,330304432,504134685,4146613431
Pounds of Materials Used,Grain Products,2010,1,Corn and corn products,56705162,504134685,700751347
Pounds of Materials Used,Grain Products,2010,1,Rice and rice products,59701345,504134685,713449319
Pounds of Materials Used,Grain Products,2010,1,Barley and barley products,3668374,504134685,87693044
Pounds of Materials Used,Grain Products,2010,1,Wheat and wheat products,1409685,504134685,22162591
Pounds of Materials Used,Non-Grain Products,2010,1,Sugar and syrups,47308358,504134685,769069238
Pounds of Materials Used,Non-Grain Products,2010,1,Hops (dry),4765924,504134685,90857470
Pounds of Materials Used,Non-Grain Products,2010,1,Hops (used as extracts),271405,504134685,4288532
Pounds of Materials Used,Grain Products,2010,2,Malt and malt products,305543380,472526253,4146613431
Pounds of Materials Used,Grain Products,2010,2,Corn and corn products,54486996,472526253,700751347
Pounds of Materials Used,Grain Products,2010,2,Rice and rice products,55198940,472526253,713449319
Pounds of Materials Used,Grain Products,2010,2,Barley and barley products,3726630,472526253,87693044
Pounds of Materials Used,Grain Products,2010,2,Wheat and wheat products,1683401,472526253,22162591
Pounds of Materials Used,Non-Grain Products,2010,2,Sugar and syrups,46718854,472526253,769069238
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (dry),4899463,472526253,90857470
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (used as extracts),268589,472526253,4288532
Pounds of Materials Used,Grain Products,2010,3,Malt and malt products,366733254,569960012,4146613431
Pounds of Materials Used,Grain Products,2010,3,Corn and corn products,60991969,569960012,700751347
Pounds of Materials Used,Grain Products,2010,3,Rice and rice products,59991160,569960012,713449319
Pounds of Materials Used,Grain Products,2010,3,Barley and barley products,10220654,569960012,87693044
Pounds of Materials Used,Grain Products,2010,3,Wheat and wheat products,2762670,569960012,22162591
Pounds of Materials Used,Non-Grain Products,2010,3,Sugar and syrups,61007512,569960012,769069238
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (dry),7932387,569960012,90857470
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (used as extracts),320406,569960012,4288532
Pounds of Materials Used,Grain Products,2010,4,Malt and malt products,374018118,584110489,4146613431
Pounds of Materials Used,Grain Products,2010,4,Corn and corn products,61273430,584110489,700751347
Pounds of Materials Used,Grain Products,2010,4,Rice and rice products,59803024,584110489,713449319
Pounds of Materials Used,Grain Products,2010,4,Barley and barley products,5030962,584110489,87693044
Pounds of Materials Used,Grain Products,2010,4,Wheat and wheat products,2247616,584110489,22162591
Pounds of Materials Used,Non-Grain Products,2010,4,Sugar and syrups,73040421,584110489,769069238
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (dry),8240399,584110489,90857470
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (used as extracts),456519,584110489,4288532
Pounds of Materials Used,Grain Products,2010,5,Malt and malt products,399504457,624233991,4146613431
Pounds of Materials Used,Grain Products,2010,5,Corn and corn products,62684555,624233991,700751347
Pounds of Materials Used,Grain Products,2010,5,Rice and rice products,69284131,624233991,713449319
Pounds of Materials Used,Grain Products,2010,5,Barley and barley products,4903020,624233991,87693044
Pounds of Materials Used,Grain Products,2010,5,Wheat and wheat products,2264521,624233991,22162591
Pounds of Materials Used,Non-Grain Products,2010,5,Sugar and syrups,76115769,624233991,769069238
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (dry),9080801,624233991,90857470
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (used as extracts),396737,624233991,4288532
Pounds of Materials Used,Grain Products,2010,6,Malt and malt products,380521275,600177188,4146613431
Pounds of Materials Used,Grain Products,2010,6,Corn and corn products,60811086,600177188,700751347
