data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2014,8,Barley and barley products,10774103,550652373,164177906
Pounds of Materials Used,Grain Products,2014,8,Wheat and wheat products,3109619,550652373,32480911
Pounds of Materials Used,Non-Grain Products,2014,8,Sugar and syrups,84424807,550652373,862930319
Pounds of Materials Used,Non-Grain Products,2014,8,Hops (dry),1835895,550652373,310576763
Pounds of Materials Used,Non-Grain Products,2014,8,Hops (used as extracts),312437,550652373,3651664
Pounds of Materials Used,Grain Products,2014,9,Malt and malt products,346653525,554969588,3790022536
Pounds of Materials Used,Grain Products,2014,9,Corn and corn products,46554596,554969588,592890219
Pounds of Materials Used,Grain Products,2014,9,Rice and rice products,56748056,554969588,638817443
Pounds of Materials Used,Grain Products,2014,9,Barley and barley products,25194159,554969588,164177906
Pounds of Materials Used,Grain Products,2014,9,Wheat and wheat products,3802119,554969588,32480911
Pounds of Materials Used,Non-Grain Products,2014,9,Sugar and syrups,71386473,554969588,862930319
Pounds of Materials Used,Non-Grain Products,2014,9,Hops (dry),4289504,554969588,310576763
Pounds of Materials Used,Non-Grain Products,2014,9,Hops (used as extracts),341156,554969588,3651664
Pounds of Materials Used,Grain Products,2014,10,Malt and malt products,329412159,526428235,3790022536
Pounds of Materials Used,Grain Products,2014,10,Corn and corn products,46194312,526428235,592890219
Pounds of Materials Used,Grain Products,2014,10,Rice and rice products,54599783,526428235,638817443
Pounds of Materials Used,Grain Products,2014,10,Barley and barley products,14289508,526428235,164177906
Pounds of Materials Used,Grain Products,2014,10,Wheat and wheat products,1872895,526428235,32480911
Pounds of Materials Used,Non-Grain Products,2014,10,Sugar and syrups,77825404,526428235,862930319
Pounds of Materials Used,Non-Grain Products,2014,10,Hops (dry),1899541,526428235,310576763
Pounds of Materials Used,Non-Grain Products,2014,10,Hops (used as extracts),334633,526428235,3651664
Pounds of Materials Used,Grain Products,2014,11,Malt and malt products,272737485,433552868,3790022536
Pounds of Materials Used,Grain Products,2014,11,Corn and corn products,38032693,433552868,592890219
Pounds of Materials Used,Grain Products,2014,11,Rice and rice products,47373098,433552868,638817443
Pounds of Materials Used,Grain Products,2014,11,Barley and barley products,10643784,433552868,164177906
Pounds of Materials Used,Grain Products,2014,11,Wheat and wheat products,1345356,433552868,32480911
Pounds of Materials Used,Non-Grain Products,2014,11,Sugar and syrups,61665023,433552868,862930319
Pounds of Materials Used,Non-Grain Products,2014,11,Hops (dry),1492949,433552868,310576763
Pounds of Materials Used,Non-Grain Products,2014,11,Hops (used as extracts),262480,433552868,3651664
Pounds of Materials Used,Grain Products,2014,12,Malt and malt products,153777615,534941451,3790022536
Pounds of Materials Used,Grain Products,2014,12,Corn and corn products,30884481,534941451,592890219
Pounds of Materials Used,Grain Products,2014,12,Rice and rice products,44864070,534941451,638817443
Pounds of Materials Used,Grain Products,2014,12,Barley and barley products,9077439,534941451,164177906
Pounds of Materials Used,Grain Products,2014,12,Wheat and wheat products,946014,534941451,32480911
Pounds of Materials Used,Non-Grain Products,2014,12,Sugar and syrups,11292897,534941451,862930319
Pounds of Materials Used,Non-Grain Products,2014,12,Hops (dry),284055954,534941451,310576763
Pounds of Materials Used,Non-Grain Products,2014,12,Hops (used as extracts),42981,534941451,3651664
Pounds of Materials Used,Grain Products,2015,1,Malt and malt products,314189672,510427900,3669211565
Pounds of Materials Used,Grain Products,2015,1,Corn and corn products,59759340,510427900,570241780
Pounds of Materials Used,Grain Products,2015,1,Rice and rice products,52438465,510427900,603782820
Pounds of Materials Used,Grain Products,2015,1,Barley and barley products,8728262,510427900,168839894
Pounds of Materials Used,Grain Products,2015,1,Wheat and wheat products,1316582,510427900,32145753
Pounds of Materials Used,Non-Grain Products,2015,1,Sugar and syrups,71798065,510427900,847629620
Pounds of Materials Used,Non-Grain Products,2015,1,Hops (dry),1899000,510427900,310558359
Pounds of Materials Used,Non-Grain Products,2015,1,Hops (used as extracts),298514,510427900,3611505
Pounds of Materials Used,Grain Products,2015,2,Malt and malt products,292567431,478194615,3669211565
Pounds of Materials Used,Grain Products,2015,2,Corn and corn products,49291032,478194615,570241780
Pounds of Materials Used,Grain Products,2015,2,Rice and rice products,48975137,478194615,603782820
Pounds of Materials Used,Grain Products,2015,2,Barley and barley products,9108543,478194615,168839894
Pounds of Materials Used,Grain Products,2015,2,Wheat and wheat products,2060046,478194615,32145753
Pounds of Materials Used,Non-Grain Products,2015,2,Sugar and syrups,74138605,478194615,847629620
Pounds of Materials Used,Non-Grain Products,2015,2,Hops (dry),1754927,478194615,310558359
Pounds of Materials Used,Non-Grain Products,2015,2,Hops (used as extracts),298894,478194615,3611505
Pounds of Materials Used,Grain Products,2015,3,Malt and malt products,319448327,534014331,3669211565
Pounds of Materials Used,Grain Products,2015,3,Corn and corn products,53588473,534014331,570241780
Pounds of Materials Used,Grain Products,2015,3,Rice and rice products,48710754,534014331,603782820
Pounds of Materials Used,Grain Products,2015,3,Barley and barley products,22013439,534014331,168839894
Pounds of Materials Used,Grain Products,2015,3,Wheat and wheat products,3719861,534014331,32145753
Pounds of Materials Used,Non-Grain Products,2015,3,Sugar and syrups,82468474,534014331,847629620
Pounds of Materials Used,Non-Grain Products,2015,3,Hops (dry),3743541,534014331,310558359
Pounds of Materials Used,Non-Grain Products,2015,3,Hops (used as extracts),321462,534014331,3611505
Pounds of Materials Used,Grain Products,2015,4,Malt and malt products,310767436,514691858,3669211565
Pounds of Materials Used,Grain Products,2015,4,Corn and corn products,50651219,514691858,570241780
Pounds of Materials Used,Grain Products,2015,4,Rice and rice products,55895095,514691858,603782820
Pounds of Materials Used,Grain Products,2015,4,Barley and barley products,9432668,514691858,168839894
Pounds of Materials Used,Grain Products,2015,4,Wheat and wheat products,2543086,514691858,32145753
Pounds of Materials Used,Non-Grain Products,2015,4,Sugar and syrups,82896506,514691858,847629620
Pounds of Materials Used,Non-Grain Products,2015,4,Hops (dry),2184404,514691858,310558359
Pounds of Materials Used,Non-Grain Products,2015,4,Hops (used as extracts),321444,514691858,3611505
Pounds of Materials Used,Grain Products,2015,5,Malt and malt products,332384559,549040224,3669211565
Pounds of Materials Used,Grain Products,2015,5,Corn and corn products,59463385,549040224,570241780
Pounds of Materials Used,Grain Products,2015,5,Rice and rice products,59210512,549040224,603782820
Pounds of Materials Used,Grain Products,2015,5,Barley and barley products,11006146,549040224,168839894
Pounds of Materials Used,Grain Products,2015,5,Wheat and wheat products,3270150,549040224,32145753
Pounds of Materials Used,Non-Grain Products,2015,5,Sugar and syrups,81171257,549040224,847629620
Pounds of Materials Used,Non-Grain Products,2015,5,Hops (dry),2188410,549040224,310558359
Pounds of Materials Used,Non-Grain Products,2015,5,Hops (used as extracts),345805,549040224,3611505
Pounds of Materials Used,Grain Products,2015,6,Malt and malt products,383818029,601226092,3669211565
Pounds of Materials Used,Grain Products,2015,6,Corn and corn products,58932810,601226092,570241780
Pounds of Materials Used,Grain Products,2015,6,Rice and rice products,47366346,601226092,603782820
Pounds of Materials Used,Grain Products,2015,6,Barley and barley products,24840171,601226092,168839894
Pounds of Materials Used,Grain Products,2015,6,Wheat and wheat products,4325143,601226092,32145753
Pounds of Materials Used,Non-Grain Products,2015,6,Sugar and syrups,78547713,601226092,847629620
Pounds of Materials Used,Non-Grain Products,2015,6,Hops (dry),2991932,601226092,310558359
Pounds of Materials Used,Non-Grain Products,2015,6,Hops (used as extracts),403948,601226092,3611505
Pounds of Materials Used,Grain Products,2015,7,Malt and malt products,351222725,556244088,3669211565
Pounds of Materials Used,Grain Products,2015,7,Corn and corn products,47503607,556244088,570241780
Pounds of Materials Used,Grain Products,2015,7,Rice and rice products,64827600,556244088,603782820
Pounds of Materials Used,Grain Products,2015,7,Barley and barley products,11059580,556244088,168839894
Pounds of Materials Used,Grain Products,2015,7,Wheat and wheat products,4133710,556244088,32145753
Pounds of Materials Used,Non-Grain Products,2015,7,Sugar and syrups,74805384,556244088,847629620
Pounds of Materials Used,Non-Grain Products,2015,7,Hops (dry),2352314,556244088,310558359
Pounds of Materials Used,Non-Grain Products,2015,7,Hops (used as extracts),339168,556244088,3611505
Pounds of Materials Used,Grain Products,2015,8,Malt and malt products,326075404,530303120,3669211565
Pounds of Materials Used,Grain Products,2015,8,Corn and corn products,49124855,530303120,570241780
Pounds of Materials Used,Grain Products,2015,8,Rice and rice products,58190840,530303120,603782820
Pounds of Materials Used,Grain Products,2015,8,Barley and barley products,11696242,530303120,168839894
Pounds of Materials Used,Grain Products,2015,8,Wheat and wheat products,3015906,530303120,32145753
Pounds of Materials Used,Non-Grain Products,2015,8,Sugar and syrups,80080228,530303120,847629620
Pounds of Materials Used,Non-Grain Products,2015,8,Hops (dry),1807220,530303120,310558359
Pounds of Materials Used,Non-Grain Products,2015,8,Hops (used as extracts),312425,530303120,3611505
Pounds of Materials Used,Grain Products,2015,9,Malt and malt products,328674963,525012571,3669211565
Pounds of Materials Used,Grain Products,2015,9,Corn and corn products,41626738,525012571,570241780
Pounds of Materials Used,Grain Products,2015,9,Rice and rice products,48134917,525012571,603782820
Pounds of Materials Used,Grain Products,2015,9,Barley and barley products,26802044,525012571,168839894
Pounds of Materials Used,Grain Products,2015,9,Wheat and wheat products,3829592,525012571,32145753
Pounds of Materials Used,Non-Grain Products,2015,9,Sugar and syrups,71270147,525012571,847629620
Pounds of Materials Used,Non-Grain Products,2015,9,Hops (dry),4335014,525012571,310558359
Pounds of Materials Used,Non-Grain Products,2015,9,Hops (used as extracts),339156,525012571,3611505
Pounds of Materials Used,Grain Products,2015,10,Malt and malt products,305864536,487543360,3669211565
Pounds of Materials Used,Grain Products,2015,10,Corn and corn products,41417962,487543360,570241780
Pounds of Materials Used,Grain Products,2015,10,Rice and rice products,45050667,487543360,603782820
Pounds of Materials Used,Grain Products,2015,10,Barley and barley products,13833433,487543360,168839894
Pounds of Materials Used,Grain Products,2015,10,Wheat and wheat products,1568734,487543360,32145753
Pounds of Materials Used,Non-Grain Products,2015,10,Sugar and syrups,77650579,487543360,847629620
Pounds of Materials Used,Non-Grain Products,2015,10,Hops (dry),1826524,487543360,310558359
Pounds of Materials Used,Non-Grain Products,2015,10,Hops (used as extracts),330925,487543360,3611505
Pounds of Materials Used,Grain Products,2015,11,Malt and malt products,248702560,392128383,3669211565
Pounds of Materials Used,Grain Products,2015,11,Corn and corn products,31612117,392128383,570241780
Pounds of Materials Used,Grain Products,2015,11,Rice and rice products,38579400,392128383,603782820
Pounds of Materials Used,Grain Products,2015,11,Barley and barley products,8852396,392128383,168839894
Pounds of Materials Used,Grain Products,2015,11,Wheat and wheat products,1292617,392128383,32145753
Pounds of Materials Used,Non-Grain Products,2015,11,Sugar and syrups,61470208,392128383,847629620
Pounds of Materials Used,Non-Grain Products,2015,11,Hops (dry),1360528,392128383,310558359
Pounds of Materials Used,Non-Grain Products,2015,11,Hops (used as extracts),258557,392128383,3611505
Pounds of Materials Used,Grain Products,2015,12,Malt and malt products,155495923,527194754,3669211565
Pounds of Materials Used,Grain Products,2015,12,Corn and corn products,27270242,527194754,570241780
Pounds of Materials Used,Grain Products,2015,12,Rice and rice products,36403087,527194754,603782820
Pounds of Materials Used,Grain Products,2015,12,Barley and barley products,11466970,527194754,168839894
Pounds of Materials Used,Grain Products,2015,12,Wheat and wheat products,1070326,527194754,32145753
Pounds of Materials Used,Non-Grain Products,2015,12,Sugar and syrups,11332454,527194754,847629620
Pounds of Materials Used,Non-Grain Products,2015,12,Hops (dry),284114545,527194754,310558359
Pounds of Materials Used,Non-Grain Products,2015,12,Hops (used as extracts),41207,527194754,3611505
